AID,Membrane receptor,Enzyme (other),Nuclear receptor,Hydrolase,Protease,Transcription factor,Kinase,Epigenetic regulator,Ion channel,Transferase,Oxidoreductase,Transporter,NTPase,Phosphatase
activity_1347034,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1347037,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_602233,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_485367,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1490,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602440,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_504690,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_588413,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_652067,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_652126,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_652257,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_686964,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_687014,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_687016,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_720596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720702,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_743126,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1053197,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_651821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651957,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_652010,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_652039,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_602281,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_624267,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_624268,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_624377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651718,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_651800,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602163,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_602123,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_540364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504411,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_504700,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_504707,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_504734,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504766,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_504803,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_492953,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_492956,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_492972,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_493008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_493087,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_493244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463082,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2751,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_434962,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2130,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2174,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2177,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_2234,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2129,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1906,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1947,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1974,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1822,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1321,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_631,0,0,1,0,0,0,0,1,0,0,0,0,0,0
activity_731,0,0,1,0,0,0,0,1,0,0,0,0,0,0
activity_1032,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_920,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_932,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2052,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1529,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1530,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1531,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_758,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_760,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_757,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_759,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_764,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_1325,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_1326,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_493014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588664,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_602410,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_623877,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_488975,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_488977,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_588511,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_588627,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588675,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588676,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1511,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1672,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2550,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2553,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2648,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_463111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2156,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2239,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_624037,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624038,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624040,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624125,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624126,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624127,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624466,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624467,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588814,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588819,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588852,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504634,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504692,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504454,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652048,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652051,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_493056,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_493084,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504660,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652054,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624463,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504651,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624465,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504652,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624464,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485347,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485344,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485358,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_492947,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504810,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504812,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540275,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_540277,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_493036,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1469,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1479,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_720552,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_720719,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_720725,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743053,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743054,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743063,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743067,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743077,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743078,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743091,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743122,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_743139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743140,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1159523,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1159528,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1159531,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1159555,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1224892,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1224893,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1224894,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1224895,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1224896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259247,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259248,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259387,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259390,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1259391,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259392,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1259393,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259394,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259395,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259396,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259401,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259402,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259403,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1259404,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1347030,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347031,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1347032,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1347033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347036,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1347038,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1159518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1159519,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_743199,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743219,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_743226,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743227,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743239,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743240,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743241,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_743242,0,0,1,0,0,0,0,0,0,0,0,0,0,0
